name	image	short_description	population_size	maximum_life_span_in_years	top_speed_in_kmh	weight	length	wingspan	continents	diet	seasonal_behavior	independent_age	population_trend	population_status	incubation_period
Western marsh harrier	https://martinfrancois.github.io/bird-images/eurasian-marsh-harrier-28circus-aeruginosus29-285058412314329.jpg	The western marsh harrier (Circus aeruginosus ) is a large harrier, a bird of prey from temperate and subtropical western Eurasia and adjacent Africa. It is also known as the Eurasian marsh harrier.Formerly, a number of relatives were included in C. aeruginosus, which was then known as ""marsh harrier"". The related taxa are now generally considered to be separate species: the eastern marsh harrier (C. spilonotus ), the Papuan harrier (C. spilothorax ) of eastern Asia and the Wallacea, the swamp harrier (C. approximans ) of Australasia and the Madagascar marsh harrier (C. maillardi ) of the western Indian Ocean islands.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Increasing	Least concern (LC)	-
Western Orphean warbler	https://martinfrancois.github.io/bird-images/sylvia-nisoria-hortensis-naumann.jpg	The western Orphean warbler (Curruca hortensis ) is a typical warbler of the genus Curruca. This species occurs in summer around the Mediterranean, through western Europe and extending into northwest Africa. It is migratory, wintering in sub-Saharan Africa. It is a rare vagrant to northern and north-western Europe.	Unknown	0	0	-	-	-	-	-	Migrating	-	Increasing	Least concern (LC)	-
Western yellow wagtail	https://martinfrancois.github.io/bird-images/motacilla-flava-western-yellow-wagtail-12.jpg	The western yellow wagtail (Motacilla flava ) is a small passerine in the wagtail family Motacillidae, which also includes the pipits and longclaws.	Unknown	0	0	-	-	-	-	-	Migrating	-	Decreasing	Least concern (LC)	-
Whinchat	https://martinfrancois.github.io/bird-images/2560px-saxicola-rubetra-283209273697729.jpg	The whinchat (Saxicola rubetra ) is a small migratory passerine bird breeding in Europe and western Asia and wintering in central Africa. At one time considered to be in the thrush family, Turdidae, it is now placed in the Old World flycatcher family, Muscicapidae. Both sexes have a strong supercilium, brownish upper parts mottled darker, a pale throat and breast, a pale buff to whitish belly, and a blackish tail with white bases to the outer tail feathers, but in the breeding season, the male has an orange-buff throat and breast.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
Whiskered tern	https://martinfrancois.github.io/bird-images/2560px-whiskered-tern28chlidonias-hybrida29.jpg	The whiskered tern (Chlidonias hybrida ) is a tern in the family Laridae. The genus name is from Ancient Greek khelidonios, ""swallow-like"", from khelidon, ""swallow"". The specific hybridus is Latin for hybrid ; Pallas thought it might be a hybrid of white-winged black tern and common tern, writing ""Sterna fissipes et Hirundine natam �.	Unknown	0	0	-	-	-	-	-	Migrating	-	Stable	Least concern (LC)	-
White Stork	https://martinfrancois.github.io/bird-images/ROUbMlYAqZQqTt49qQfq.jpg	The White stork (Ciconia ciconia) is a large bird in the stork family, Ciconiidae. It eats a wide range of animal prey and takes most of its food from the ground. It does not pair for life but both members of the pair build a large stick nest, which may be used for several years. This conspicuous species has given rise to many legends across its range, of which the best-known is the story of babies being brought by storks.	700-704 thou	35	0	2.3-4.5 kg	100-115 cm	155-215 cm	Asia, Europe, Africa	Carnivore	Migrating	8-10 weeks	Increasing	Least concern (LC)	33-34 days
White Wagtail	https://martinfrancois.github.io/bird-images/CWlJ0bOyCbvPnqSCRkFd.jpg	The white wagtail (Motacilla alba ) is a small passerine bird in the family Motacillidae, which also includes pipits and longclaws. The species breeds in much of Europe and the Asian Palearctic and parts of North Africa. It has a toehold in Alaska as a scarce breeder. It is resident in the mildest parts of its range, but otherwise migrates to Africa. In Ireland and Great Britain, the darker subspecies, the pied wagtail or water wagtail (M. a. yarrellii ) predominates. In total, there are between 9 and 11 subspecies.	135-221 mln	12	0	25 g	16-19 cm	-	Europe, Asia, Africa, North America	Carnivore,  Insectivores	Partial Migrant, Migrating	19-22 days	Stable	Least concern (LC)	12-16 days
White-backed woodpecker	https://martinfrancois.github.io/bird-images/2560px-weic39frc3bcckenspecht-in-den-chiemgauer-alpen-2.jpg	The white-backed woodpecker (Dendrocopos leucotos ) is a Eurasian woodpecker belonging to the genus Dendrocopos.	Unknown	4	0	105-112 g	24-26 cm	38-40 cm	Europe, Asia	Carnivore,  Insectivores	Not a migrant	-	Decreasing	Least concern (LC)	-
White-breasted cormorant	https://martinfrancois.github.io/bird-images/2560px-white-breasted-cormorant-plettenberg-bay-rwd.jpg	The white-breasted cormorant (Phalacrocorax lucidus ) is much like the widespread great cormorant and if not a regional variant of the same species, is at least very closely related. It is distinguished from other forms of the great cormorant by its white breast and by the fact that subpopulations are freshwater birds. Phalacrocorax lucidus is not to be confused with the smaller and very different endemic South Australian black-faced cormorant, which also is sometimes called the white-breasted cormorant.	Unknown	0	0	-	-	-	Europe, North America, Asia, Africa	-	Migrating	-	Increasing	Least concern (LC)	-
White-Tailed Eagle	https://martinfrancois.github.io/bird-images/Nr0wSABEsxP6ApCUIgmv.jpg	The White-tailed eagle (Haliaeetus albicilla ) is one of the largest living birds of prey. It is sometimes considered the fourth largest eagle in the world and is on average the fourth heaviest eagle in the world. White-tailed eagles are considered a close cousin of the Bald eagle, which occupies a similar niche in North America.	20-50 thou	42	70	3-7 kg	66-94 cm	1.8-2.5 m	Europe, Asia	Carnivore,  Scavenger	Partial Migrant	100-140 days	Increasing	Least concern (LC)	38-42 eggs
White-throated dipper	https://martinfrancois.github.io/bird-images/dipper-28-merlo-acquaiolo-29-val-d27aosta-italy-s4e3931-281710977078629.jpg	The white-throated dipper (Cinclus cinclus ), also known as the European dipper or just dipper, is an aquatic passerine bird found in Europe, Middle East, Central Asia and the Indian Subcontinent. The species is divided into several subspecies, based primarily on colour differences, particularly of the pectoral band. The white-throated dipper is Norway's national bird.	Unknown	0	0	64 g	18 cm	28 cm	Europe, Asia, Africa	Carnivore,  Insectivores	Not a migrant	-	Decreasing	Least concern (LC)	-
White-winged snowfinch	https://martinfrancois.github.io/bird-images/white-winged-snow-finch-lessinia-italy-s4e3586-282220384654429.jpg	The white-winged snowfinch (Montifringilla nivalis ), or snowfinch, is a small passerine bird. Despite its name, it is a sparrow rather than a true finch.	Unknown	0	0	-	-	-	Europe, Asia	-	Not a migrant	-	Stable	Least concern (LC)	-
White-winged tern	https://martinfrancois.github.io/bird-images/2560px-white-winged-terns2c-mc59bcichy2c-biebrzac584ski-park-narodowy2c-polska.jpg	The white-winged tern, or white-winged black tern (Chlidonias leucopterus or Chlidonias leucoptera ), is a species of tern in the family Laridae. It is a small species generally found in or near bodies of fresh water across much of the world, including Europe, Africa, Asia, and Australia. The genus name is from Ancient Greek khelidonios, ""swallow-like"", from khelidon, ""swallow"".	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Stable	Least concern (LC)	-
Whooper Swan	https://martinfrancois.github.io/bird-images/whooper-swan-wild-and-free.jpg	The whooper swan (/_hu_p_(_) sw_n/) (Cygnus cygnus ), also known as the common swan, pronounced hooper swan, is a large northern hemisphere swan. It is the Eurasian counterpart of the North American trumpeter swan, and the type species for the genus Cygnus.	180,000	25	140	8-11 kg	140-165 cm	205-275 cm	Asia, Europe, North America	Herbivore,  Carnivore,  Folivore,  Granivore,  Insectivores,  Lignivore,  Omnivore,  Piscivores	Migrating	1 year	-	Least concern (LC)	35 days
Willow tit	https://martinfrancois.github.io/bird-images/2560px-poecile-montanus-kleinschmidti-2.jpg	The willow tit (Poecile montanus ) is a passerine bird in the tit family, Paridae. It is a widespread and common resident breeder throughout temperate and subarctic Europe and across the Palearctic. The plumage is grey-brown and off-white with a black cap and bib. It is more of a conifer specialist than the closely related marsh tit, which explains it breeding much further north. It is resident, and most birds do not migrate.	Unknown	0	0	-	-	-	-	-	Partial Migrant	-	Decreasing	Least concern (LC)	-
Willow Warbler	https://martinfrancois.github.io/bird-images/shutterstock-1779647555jpg.jpg	The willow warbler (Phylloscopus trochilus ) is a very common and widespread leaf warbler which breeds throughout northern and temperate Europe and the Palearctic, from Ireland east to the Anadyr River basin in eastern Siberia. It is strongly migratory, with almost all of the population wintering in sub-Saharan Africa.	413-647 mln	5	0	7-15 g	11-12.5 cm	19 cm	Europe, Asia, Africa	Insectivores,  Carnivore	Migrating	-	Decreasing	Least concern (LC)	-
Wood sandpiper	https://martinfrancois.github.io/bird-images/grc3b6nbena-wood-sandpiper-282303761024929.jpg	The wood sandpiper (Tringa glareola ) is a small wader. This Eurasian species is the smallest of the shanks, which are mid-sized long-legged waders of the family Scolopacidae. The genus name Tringa is the New Latin name given to the green sandpiper by Aldrovandus in 1599 based on Ancient Greek trungas, a thrush-sized, white-rumped, tail-bobbing wading bird mentioned by Aristotle. The specific  glareola is from Latin glarea, "" gravel"".	Unknown	0	0	159 g	190-210 mm	120-134 mm	-	Carnivore,  Insectivores,  Molluscivore,  Piscivores,  Vermivorous	Migrating	-	Stable	Least concern (LC)	-
Wood warbler	https://martinfrancois.github.io/bird-images/2560px-d092d196d0b2d187d0b0d180d0b8d0ba-d0b6d0bed0b2d182d0bed0b1d180d0bed0b2d0b8d0b9-28phylloscopus-sibilatrix29.jpg	The wood warbler (Phylloscopus sibilatrix ) is a common and widespread leaf warbler which breeds throughout northern and temperate Europe, and just into the extreme west of Asian Russia in the southern Ural Mountains.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
Woodchat shrike	https://martinfrancois.github.io/bird-images/laniussenator-lacac3b1ada.jpg	The woodchat shrike (Lanius senator ) is a member of the shrike family Laniidae. It can be identified by its red-brown crown and nape. It is mainly insectivorous and favours open wooded areas with scattered trees such as orchards, particularly when there is bare or sandy ground. The woodchat shrike breeds in southern Europe, the Middle East and northwest Africa, and winters in tropical Africa.	Unknown	0	0	-	-	-	Europe, Africa, Asia	-	Migrating	-	Decreasing	Least concern (LC)	-
Woodlark	https://martinfrancois.github.io/bird-images/2560px-mlade-c5a1umske-c5a1eve-28lullula-arborea29-woodlarks2c-juvenile.jpg	The woodlark or wood lark (Lullula arborea ) is the only extant species in the lark genus Lullula. It is found across most of Europe, the Middle East, western Asia and the mountains of north Africa. It is mainly resident (non-migratory) in the west of its range, but eastern populations of this passerine bird are more migratory, moving further south in winter.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Increasing	Least concern (LC)	-
Xeme	https://martinfrancois.github.io/bird-images/sabines-gull-larus-sabini-xema-sabini-1.jpg	Sabine's gull ( SAY-bin) (Xema sabini ) also known as the fork-tailed gull or xeme, is a small gull. It is the only species placed in the genus Xema. It breeds in colonies on coasts and tundra, laying two or three spotted olive-brown eggs in a ground nest lined with grass. Sabine's gull is pelagic outside the breeding season. It takes a wide variety of mainly animal food, and will eat any suitable small prey.	over 340,000	18	0	135-225 g	27-33 cm	81-87 cm	North America, South America, Europe, Asia, Africa	Carnivore,  Insectivores,  Piscivores	Migrating	-	Stable	Least concern (LC)	23-25 days
Yellow-billed kite	https://martinfrancois.github.io/bird-images/2560px-yellow-billed-kite2c-milvus-aegyptius2c-at-elephant-sands-lodge2c-botswana-283143826288329.jpg	The yellow-billed kite (Milvus aegyptius ) is the Afrotropic counterpart of the black kite (Milvus migrans ), of which it is most often considered a subspecies. However, recent DNA studies suggest that the yellow-billed kite differs significantly from black kites in the Eurasian clade, and should be considered as a separate, allopatric species.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
